s0,s1,s2,q_1,q_2,q_3,q_4,q_5
0,0,0,8.339118690176562e-05,1.3220934397102037e-06,0.0,2.7580152200337546e-07,0.015546557585323754
0,0,1,2.172588410076336e-05,0.002375685093479076,0.0,0.008769622368322917,0.05159152703420373
0,0,2,0.013977102792194109,0.0,0.0,0.0455707037980404,0.05837541185513516
0,1,0,0.0002566996919702387,8.975260022813591e-08,0.00010588699836190603,0.0002545361473960574,0.004430720033683029
0,1,1,0.007527057417920478,0.0025452643281719343,0.00027631121877771394,4.7541978839604204e-05,0.07228332493275852
0,1,2,0.014991530454347023,0.004241876159638418,0.010376489588212077,0.018150876904276123,0.20846019183741835
0,2,0,2.930666108427782e-16,0.000867281214360309,4.093649168370871e-05,8.888319764902259e-05,0.03246730291892633
0,2,1,0.00015675655021250387,4.9970500842884e-07,0.0035952353297042956,0.0001772408305193355,0.04265183816538082
0,2,2,0.0,5.5530577245359746e-05,0.004678958123065748,0.011642018755867968,0.1763307211733813
1,0,0,0.0,0.0,0.0,0.0,0.00038597239764659707
1,0,1,0.0,0.0,0.0,0.0,0.07112397606769394
1,0,2,0.0,0.0019988327938681633,0.0,0.014966118456042756,0.0
1,1,0,1.4417212301615053e-07,9.536082881384912e-05,3.452577202751237e-07,0.0,0.012845195500976698
1,1,1,0.002602351349898974,0.001295822510951037,0.0016016560203888904,0.0,0.0017595860342675162
1,1,2,0.002786416730378368,0.002054629775330738,0.0,0.0,0.07400532564995484
1,2,0,3.7921838635349024e-09,7.5436003921323e-09,0.003530566495760862,3.822980331647831e-09,0.012918598158735771
1,2,1,0.004956002898784465,2.8951148753178023e-05,0.0009520594326459423,0.0009883327099783523,0.05940774839141397
1,2,2,0.0,0.0,0.016989446597020116,0.045552947834548434,0.1914578912036218
2,0,0,0.00011520355682640221,0.0,0.0,0.0,0.008474317718923628
2,0,1,0.018750906289920106,0.0,0.0,0.00010083131718408165,0.0
2,0,2,0.005316072978692708,0.0,0.0,0.0,0.07648176166576627
2,1,0,3.3396901963513845e-07,0.0,0.0,0.0,0.013780016805468013
2,1,1,0.0,2.5806345435254856e-05,0.0038732974812827263,0.0006940077503072505,0.02337334102589615
2,1,2,0.0020359879969488468,0.0,1.612943782649972e-05,0.0,0.14693436739673202
2,2,0,2.351954213782406e-07,7.399441109700203e-08,4.0192953926920674e-06,0.0,0.0015687776260961289
2,2,1,0.0,0.0,0.004044265525316914,0.0,0.035982892674097613
2,2,2,0.014255087485069018,0.0,0.0,0.0,0.16456687643927367
