s0,s1,s2,q_1,q_2,q_3,q_4,q_5
0,0,0,5.927897962297512e-07,2.423465091186582e-05,0.0,0.002506022245502483,0.004390655241502553
0,0,1,0.00043729490583125697,0.0024601884526317306,0.0,0.006329857921430163,0.04299681016320604
0,0,2,0.0067270645052397455,0.0,0.0,0.008099459718745821,0.0864252419736313
0,1,0,4.828567891035151e-06,7.155756422186053e-06,1.2940449408564976e-05,0.0004606520936532777,0.010141341336346444
0,1,1,9.44468918300648e-06,0.0018358104005956927,0.002793437435316325,0.002442138302580142,0.018908678862294068
0,1,2,0.00041923309382628797,0.000931678190572337,0.006206413160318505,0.026057645898660897,0.17397619679075677
0,2,0,0.000634389545823079,1.2460412968333249e-05,0.0006668269148597493,1.3947340825205815e-06,0.008500745845423197
0,2,1,7.677064741693997e-06,2.91225837742349e-05,0.0006602517744097487,0.003630321590692657,0.06090143830623784
0,2,2,0.003421192815837753,0.006472607005627681,0.010690670567216704,0.014195381751067233,0.06498262882692823
1,0,0,0.0002218435903420851,0.0,0.0,0.0,0.00997793142592032
1,0,1,0.000907196749510224,0.0,0.0,0.0039543362631344284,0.049584320349945615
1,0,2,0.0,0.0,0.0,0.0,0.1411842843751684
1,1,0,0.0,5.437999157485223e-07,0.0005755645097045302,0.0,0.021137496183116486
1,1,1,0.0,0.0,0.0016979525846138024,0.0,0.04972332087909398
1,1,2,0.0,0.0,0.009123085219594006,0.0,0.0891464999768706
1,2,0,1.754817377558875e-05,0.0,0.00026122474142572475,1.6259808853202853e-07,0.0031784073215200435
1,2,1,0.0,0.0013289309934289364,0.002374280888608523,0.0003881150071783483,0.07880119421696065
1,2,2,0.0019805097197625188,0.0,0.029240861326219864,0.005769001104497163,0.1266071053584633
2,0,0,0.0001583437278241461,0.0,0.0,0.0,0.009589992234951935
2,0,1,0.0007082665866410168,0.0,0.0,0.0,0.03144467705559768
2,0,2,0.00010347300090271728,0.0,0.0,0.0,0.11861094216515936
2,1,0,0.00010062733124625087,0.0,0.0002498769181505921,0.00010053766893274377,0.0064754063865235835
2,1,1,5.022196819384104e-05,0.0,6.988669380535472e-05,0.005336904050374422,0.005668670533921065
2,1,2,7.265363738547375e-06,0.0,0.0,0.0,0.1581117605235204
2,2,0,3.0324153140885997e-09,2.919785747903862e-09,5.5786329092283587e-05,0.0,0.006702833771448915
2,2,1,3.4940680530179295e-05,0.0,9.236425281866315e-05,0.0,0.03426214634057243
2,2,2,6.056776992221574e-08,0.0,0.004713785471131851,0.0,0.10720284595732515
