STT,Althgorithm,Datasetname,num_trucks,drones_per_truck,makespan (hours),Fitness,run time,Service seq,Vehicle asgn
34,GA,N20E50R20_05,1,1,0.7638132209476264,0.6074382968649271,197.26506690005772,"[15, -8, -11, -17, 6, -13, -9, 16, 7, 4, 18, 12, 5, 14, -2, -19, -20, 1, 10, 3]","[2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 1, 2, 2]"
35,HGA,N10E20R5_01,1,1,0.4632782218537319,0.3211189104240001,5.629818100016564,"[4, -1, 3, -2, -5]","[2, 2, 1, 2, 2]"
36,GA,N10E20R5_01,1,1,0.4632782218537319,0.4632782218537319,14.837218699976802,"[4, -1, 3, 5, 2]","[2, 2, 1, 2, 2]"
37,HGA,N10E20R5_02,1,1,0.65,0.5411595848112175,8.650233699940145,"[-2, 4, -1, -5, -3]","[2, 2, 2, 1, 2]"
38,GA,N10E20R5_02,1,1,0.65,0.5930882987610625,14.90002880000975,"[-2, 4, -1, -5, -3]","[2, 2, 2, 1, 2]"
39,HGA,N10E20R5_03,1,1,0.6000000000000001,0.49953192444112393,8.852267000009306,"[3, -5, -1, -4, -2]","[2, 2, 1, 2, 2]"
40,GA,N10E20R5_03,1,1,0.6000000000000001,0.6000000000000001,14.785796699929051,"[-3, -5, -1, 2, 4]","[2, 2, 1, 2, 2]"
41,HGA,N10E20R5_04,1,1,0.6000000000000001,0.41588690589308785,9.381292800069787,"[-5, -3, -1, 2, -4]","[2, 2, 2, 1, 2]"
42,GA,N10E20R5_04,1,1,0.6000000000000001,0.41588690589308785,16.37719739996828,"[-5, -1, -3, -4, -2]","[2, 2, 1, 2, 2]"
43,HGA,N10E20R5_05,1,1,0.513278221853732,0.35577615258175743,8.888016400043853,"[5, -1, -2, 4, 3]","[2, 2, 2, 1, 2]"
44,GA,N10E20R5_05,1,1,0.513278221853732,0.46833739598512786,16.399546599946916,"[5, -1, -2, 4, 3]","[2, 2, 2, 1, 2]"
45,HGA,N10E30R10_01,1,1,0.6,0.4158869058930878,41.23253009992186,"[-2, 3, -6, -4, -5, 1, 9, -8, 7, -10]","[2, 2, 2, 1, 2, 2, 2, 1, 2, 2]"
46,GA,N10E30R10_01,1,1,0.6075290658380328,0.5058002723533179,23.761108300066553,"[3, -10, 7, -2, -4, -9, -1, 5, -8, -6]","[2, 2, 2, 2, 1, 2, 2, 2, 1, 2]"
47,HGA,N10E30R10_02,1,1,0.6841679141095094,0.5197334876275759,41.687442900030874,"[-8, 4, 10, -3, 6, 5, 9, -7, -1, -2]","[2, 2, 2, 2, 1, 2, 2, 2, 1, 2]"
48,GA,N10E30R10_02,1,1,0.6770284707521047,0.4912786932645543,23.315068800002337,"[7, -9, -8, 5, 6, 4, 10, -3, -1, 2]","[2, 2, 2, 2, 1, 2, 2, 2, 1, 2]"
49,HGA,N10E30R10_03,1,1,0.6153346595301795,0.40741627534633607,41.055332500021905,"[-7, -4, 1, -9, 8, -2, -10, -5, 3, 6]","[2, 2, 2, 2, 1, 2, 2, 1, 2, 2]"
50,GA,N10E30R10_03,1,1,0.7549793204708521,0.6285604547800946,24.9336754999822,"[-7, -2, -10, 5, -8, 9, 6, 1, -3, -4]","[2, 2, 2, 2, 2, 1, 2, 2, 1, 2]"
51,HGA,N10E30R10_04,1,1,0.55,0.41781178611280567,37.524888900108635,"[8, -1, -6, 2, 10, -3, -7, -4, -9, -5]","[2, 2, 2, 1, 2, 2, 2, 1, 2, 2]"
52,GA,N10E30R10_04,1,1,0.5663391973670658,0.4715075152453531,23.686150399968028,"[-4, -3, -9, -7, 2, 8, -1, -6, 10, 5]","[2, 2, 2, 2, 1, 2, 2, 2, 1, 2]"
53,HGA,N10E30R10_05,1,1,0.5903346595301795,0.3733604211710786,39.14574890001677,"[-7, 8, 2, -1, 3, -9, -6, 4, -5, -10]","[2, 2, 2, 2, 1, 2, 2, 1, 2, 2]"
54,GA,N10E30R10_05,1,1,0.6373838098114322,0.5815767375675491,23.97208730003331,"[7, -8, -10, 3, -5, 2, -1, 4, -9, -6]","[2, 2, 2, 1, 2, 2, 2, 1, 2, 2]"
55,HGA,N10E30R10_01,1,1,0.6,0.4158869058930878,61.90220340003725,"[-2, 3, -6, -4, -5, 1, 9, -8, 7, -10]","[2, 2, 2, 1, 2, 2, 2, 1, 2, 2]"
56,GA,N10E30R10_01,1,1,0.6075290658380328,0.5058002723533179,34.5874442999484,"[3, -10, 7, -2, -4, -9, -1, 5, -8, -6]","[2, 2, 2, 2, 1, 2, 2, 2, 1, 2]"
57,HGA,N10E30R10_02,1,1,0.6841679141095094,0.5197334876275759,61.366946000023745,"[-8, 4, 10, -3, 6, 5, 9, -7, -1, -2]","[2, 2, 2, 2, 1, 2, 2, 2, 1, 2]"
58,GA,N10E30R10_02,1,1,0.6770284707521047,0.4912786932645543,35.381019499967806,"[7, -9, -8, 5, 6, 4, 10, -3, -1, 2]","[2, 2, 2, 2, 1, 2, 2, 2, 1, 2]"
59,HGA,N10E30R10_03,1,1,0.6153346595301795,0.40741627534633607,94.38489709992427,"[-7, -4, 1, -9, 8, -2, -10, -5, 3, 6]","[2, 2, 2, 2, 1, 2, 2, 1, 2, 2]"
60,GA,N10E30R10_03,1,1,0.7549793204708521,0.6285604547800946,110.73851840000134,"[-7, -2, -10, 5, -8, 9, 6, 1, -3, -4]","[2, 2, 2, 2, 2, 1, 2, 2, 1, 2]"
61,HGA,N10E30R10_04,1,1,0.55,0.41781178611280567,68.94580510002561,"[8, -1, -6, 2, 10, -3, -7, -4, -9, -5]","[2, 2, 2, 1, 2, 2, 2, 1, 2, 2]"
62,GA,N10E30R10_04,1,1,0.5663391973670658,0.4715075152453531,98.15669930004515,"[-4, -3, -9, -7, 2, 8, -1, -6, 10, 5]","[2, 2, 2, 2, 1, 2, 2, 2, 1, 2]"
63,HGA,N10E30R10_05,1,1,0.5903346595301795,0.3733604211710786,199.45254540001042,"[-7, 8, 2, -1, 3, -9, -6, 4, -5, -10]","[2, 2, 2, 2, 1, 2, 2, 1, 2, 2]"
64,GA,N10E30R10_05,1,1,0.6373838098114322,0.5815767375675491,35.57870630000252,"[7, -8, -10, 3, -5, 2, -1, 4, -9, -6]","[2, 2, 2, 1, 2, 2, 2, 1, 2, 2]"
65,RL_SPC_GA,N10E30R10_01,1,1,0.6151698991485086,0.5121616726331777,39.5893575999653,"[-1, 3, -10, -6, -4, -5, 2, -8, -9, -7]","[2, 2, 2, 2, 1, 2, 2, 1, 2, 2]"
66,RL_SPC_GA,N10E30R10_02,1,1,0.6770284707521047,0.56366222482705,42.65845950006042,"[-5, 8, 9, -7, 6, 4, 10, -3, -1, -2]","[2, 2, 2, 2, 1, 2, 2, 2, 1, 2]"
67,RL_SPC_GA,N10E30R10_03,1,1,0.6358356056153144,0.48301747282954904,40.71587659989018,"[-4, -3, 2, 7, 8, 6, -10, -5, 1, -9]","[2, 2, 2, 2, 1, 2, 2, 1, 2, 2]"
68,RL_SPC_GA,N10E30R10_04,1,1,0.5663391973670658,0.4715075152453531,40.02918489999138,"[-4, -3, -9, -7, 2, 8, -1, -6, 10, 5]","[2, 2, 2, 2, 1, 2, 2, 2, 1, 2]"
69,RL_SPC_GA,N10E30R10_05,1,1,0.5903346595301795,0.46947587490101456,39.731747600017115,"[2, -1, -8, -10, 3, -9, -6, 4, -7, 5]","[2, 2, 2, 2, 1, 2, 2, 1, 2, 2]"
